1.3222,1.1381
0.58277,0.49963
1.0108,0.88894
0.36356,0.31218
1.0533,0.93818
0.19742,0.17423
0.35843,0.31118
0.80389,0.71652
0.21471,0.17883
1.1243,1.0105
0.56535,0.50183
0.21386,0.19038
1.286,1.1431
0.82277,0.75311
0.12856,0.10626
0.7586,0.67965
0.84391,0.744
0.45474,0.4094
0.4487,0.37268
1.2288,1.1068
0.75474,0.63323
1.0229,0.91822
1.3555,1.1548
0.65912,0.58791
0.45279,0.38286
0.38607,0.3502
0.58585,0.49842
0.65093,0.54784
1.0553,0.95853
0.19085,0.16086
0.38631,0.33245
0.27412,0.23881
0.80973,0.71772
0.29156,0.26244
1.0623,0.93083
0.35403,0.31861
0.34837,0.3164
1.1286,1.0277
1.7121,1.5284
0.60796,0.5354
0.48926,0.39771
0.43614,0.37242
0.99622,0.89249
0.82738,0.69026
0.50267,0.44122
0.86339,0.71476
0.61654,0.53362
0.83635,0.74625
0.89787,0.81362
1.1363,1.0129
0.14491,0.12153
0.32968,0.29626
1.3873,1.2657
0.27651,0.24473
0.26757,0.23589
0.59578,0.53821
1.3247,1.165
0.31213,0.26182
0.19478,0.17622
0.82467,0.75417
0.38803,0.35015
0.43064,0.37706
1.2317,1.0324
0.98174,0.8464
0.61732,0.56031
0.49168,0.43766
0.74799,0.63564
0.95695,0.80923
0.21625,0.18223
0.69943,0.59659
0.75323,0.6974
0.73314,0.65024
0.81432,0.70025
0.49893,0.44896
0.85881,0.76299
1.1328,0.95394
0.16866,0.14994
1.0739,0.94802
0.65393,0.58794
0.45368,0.40376
0.27377,0.24526
0.27282,0.22553
0.73332,0.63823
0.63334,0.57201
0.5868,0.52061
0.99949,0.8792
1.4722,1.2958
0.55035,0.49618
0.49512,0.43271
0.29955,0.27195
0.70701,0.62865
0.35215,0.31082
0.55557,0.48524
1.2526,1.1193
0.8008,0.73372
0.55366,0.4761
0.13436,0.1191
0.56507,0.47072
0.54738,0.49367
0.28031,0.24063
