1.3523,1.5625,1.5867,1.5534,1.353,1.503,1.5064,1.0218,1.1203
0.61384,0.70019,0.72737,0.68068,0.49729,0.64304,0.68502,0.32413,0.47006
1.0549,1.0497,1.1975,1.0686,0.78212,1.012,1.1372,0.57019,0.8831
0.37874,0.42165,0.45148,0.40897,0.27626,0.38388,0.43341,0.18054,0.29761
0.92331,0.99356,1.0345,0.98185,0.75936,0.94233,1.07,0.54321,0.83765
0.19135,0.21009,0.21984,0.20051,0.13201,0.19177,0.23243,0.085534,0.16112
0.52407,0.57401,0.5987,0.56193,0.41354,0.52468,0.52857,0.27769,0.34424
1.0417,1.1334,1.1709,1.1112,0.83612,1.0684,1.1054,0.60115,0.77496
0.19871,0.23786,0.24671,0.22702,0.1519,0.21329,0.24248,0.091103,0.15734
0.68785,0.76154,0.7929,0.74785,0.50034,0.69343,1.0085,0.34344,0.84759
0.48953,0.54754,0.56942,0.52752,0.35735,0.49724,0.60481,0.23921,0.44936
0.25593,0.27921,0.30269,0.26473,0.1757,0.25028,0.27951,0.12092,0.19554
1.4863,1.6224,1.7311,1.5992,1.2724,1.5095,1.5514,0.96528,1.1828
0.53566,0.57196,0.59508,0.54932,0.38344,0.52723,0.76805,0.26937,0.64362
0.22184,0.25869,0.2688,0.24836,0.17042,0.22975,0.22537,0.1038,0.12694
0.56591,0.63754,0.65705,0.61028,0.415,0.57635,0.75036,0.28056,0.58474
1.1007,1.2136,1.2456,1.1948,0.96585,1.1367,1.1355,0.70367,0.80563
0.59284,0.65031,0.66896,0.62417,0.45145,0.58911,0.61672,0.31542,0.42517
0.41632,0.49802,0.51305,0.48275,0.35613,0.45062,0.48352,0.22554,0.32466
1.0856,1.1851,1.2193,1.1623,0.92795,1.1206,1.2418,0.68616,0.99227
0.76567,0.88342,0.92466,0.8697,0.649,0.81993,0.86551,0.43331,0.59903
1.2419,1.3548,1.3906,1.3324,1.086,1.2806,1.2994,0.81903,0.96366
1.1193,1.2981,1.359,1.286,0.97899,1.2192,1.3668,0.69332,1.0401
0.71619,0.79777,0.81749,0.77058,0.57374,0.73696,0.79453,0.40299,0.56832
0.69038,0.78017,0.81212,0.76452,0.55483,0.72288,0.71855,0.36125,0.44246
0.44324,0.47225,0.49656,0.45265,0.29984,0.42866,0.49416,0.20561,0.34919
0.61275,0.69843,0.72781,0.68379,0.49211,0.64768,0.69568,0.31921,0.47069
0.47186,0.56472,0.58156,0.54623,0.39153,0.51714,0.62162,0.24986,0.45011
0.88497,0.95789,0.98836,0.93188,0.69957,0.89289,1.0536,0.50249,0.84934
0.21173,0.24875,0.25761,0.23818,0.16333,0.22269,0.23994,0.10204,0.15265
0.43102,0.49515,0.51101,0.47685,0.34308,0.45222,0.48187,0.22487,0.31929
0.44364,0.49897,0.51577,0.47832,0.33927,0.45018,0.4501,0.22847,0.28051
0.80713,0.85745,0.91159,0.84841,0.6269,0.80814,0.90384,0.43969,0.67598
0.42869,0.46297,0.48114,0.44552,0.31977,0.4138,0.42329,0.22176,0.28631
0.62684,0.71332,0.74344,0.68628,0.48798,0.6698,0.96934,0.32945,0.78305
0.33148,0.3553,0.37349,0.34091,0.22579,0.32682,0.40869,0.15295,0.2985
0.47188,0.49653,0.51545,0.48497,0.34639,0.44335,0.46135,0.24105,0.32719
1.5267,1.488,1.7188,1.4832,1.0617,1.3489,1.4306,0.79752,1.1125
1.2557,1.3445,1.4096,1.3406,1.0502,1.3023,1.6023,0.77021,1.3433
0.90115,0.97173,1.0097,0.95338,0.72686,0.91573,0.92037,0.51669,0.61867
0.61568,0.72766,0.75303,0.71762,0.55848,0.67067,0.66479,0.36287,0.41887
0.72884,0.81854,0.84364,0.80599,0.63622,0.73961,0.71862,0.43769,0.46758
1.0829,1.1971,1.2297,1.1783,0.96119,1.0959,1.1193,0.71247,0.85765
0.7555,0.88976,0.92008,0.87702,0.66526,0.83174,0.89499,0.44346,0.62303
0.39972,0.46326,0.47335,0.44173,0.3166,0.41687,0.49624,0.20942,0.36927
0.79983,0.95429,0.9798,0.94367,0.75729,0.88319,0.90854,0.50854,0.63814
0.38192,0.44587,0.46043,0.43091,0.28083,0.40271,0.56329,0.17605,0.4337
0.84922,0.88518,0.949,0.87624,0.63057,0.83563,0.953,0.44807,0.71778
0.83941,0.91849,0.94055,0.8939,0.67175,0.84619,0.94962,0.48141,0.73612
1.2477,1.3834,1.4197,1.356,1.0984,1.3223,1.3709,0.81801,1.0181
0.24299,0.27715,0.28951,0.26608,0.18131,0.24874,0.24743,0.11278,0.14256
