1.11,1.2796,1.3056,1.2571,1.0209,1.2233,1.1639,0.73426,0.73426
0.38196,0.43755,0.45716,0.41514,0.2659,0.39943,0.3579,0.16034,0.16034
0.66657,0.66999,0.75995,0.66737,0.44837,0.64212,0.58109,0.3121,0.3121
0.21316,0.23969,0.25656,0.22769,0.14183,0.21822,0.19346,0.088574,0.088574
0.63045,0.67576,0.70801,0.65834,0.47185,0.63746,0.58527,0.3244,0.3244
0.10289,0.11304,0.11854,0.1063,0.065308,0.10297,0.090596,0.040868,0.040868
0.33066,0.36298,0.38027,0.34822,0.23132,0.33309,0.301,0.14749,0.14749
0.6905,0.75157,0.7794,0.72188,0.4878,0.69994,0.63503,0.32605,0.32605
0.10925,0.1316,0.13689,0.12308,0.07528,0.11801,0.104,0.042997,0.042997
0.40352,0.44953,0.46895,0.43371,0.27667,0.4077,0.36399,0.18208,0.18208
0.28042,0.31543,0.32879,0.29784,0.18575,0.28579,0.25362,0.11838,0.11838
0.13841,0.15162,0.16428,0.14107,0.085979,0.1364,0.12007,0.056904,0.056904
1.0636,1.1683,1.2373,1.1329,0.83558,1.0884,1.0109,0.60235,0.60235
0.31516,0.33692,0.35112,0.31901,0.21079,0.30936,0.27729,0.14379,0.14379
0.12565,0.14719,0.15359,0.13739,0.082534,0.13107,0.1155,0.047231,0.047231
0.32681,0.37116,0.38172,0.34834,0.22116,0.3332,0.29659,0.1433,0.1433
0.8013,0.88057,0.90909,0.852,0.62386,0.82046,0.76043,0.43149,0.43149
0.367,0.4036,0.4158,0.38012,0.25459,0.36482,0.32921,0.17105,0.17105
0.26523,0.31818,0.32833,0.30313,0.20843,0.28774,0.26138,0.12776,0.12776
0.77543,0.8443,0.8725,0.81455,0.59567,0.79186,0.732,0.42003,0.42003
0.5009,0.57914,0.60841,0.55782,0.3734,0.53445,0.48437,0.23346,0.23346
0.91688,0.99872,1.0288,0.96601,0.72112,0.93748,0.87238,0.51766,0.51766
0.76786,0.90321,0.94495,0.87841,0.62416,0.84458,0.77712,0.4155,0.4155
0.46313,0.51604,0.53086,0.49005,0.33766,0.47417,0.43103,0.22799,0.22799
0.42999,0.48583,0.50814,0.46348,0.28965,0.44502,0.39684,0.1736,0.1736
0.24344,0.26089,0.27435,0.24518,0.14981,0.23617,0.2082,0.098222,0.098222
0.37852,0.43071,0.45162,0.41216,0.26215,0.39607,0.354,0.15888,0.15888
0.29041,0.34943,0.36104,0.33245,0.22314,0.3195,0.28842,0.13755,0.13755
0.57896,0.62659,0.64914,0.59738,0.40519,0.57879,0.52502,0.27451,0.27451
0.12087,0.1428,0.14842,0.13424,0.085291,0.12884,0.11476,0.051695,0.051695
0.26389,0.30295,0.31365,0.28652,0.18988,0.27611,0.2484,0.12021,0.12021
0.26662,0.30075,0.31159,0.28287,0.18482,0.27184,0.24398,0.11989,0.11989
0.51591,0.54996,0.58483,0.53389,0.36193,0.51577,0.46743,0.24186,0.24186
0.26116,0.2832,0.29441,0.26658,0.17522,0.25432,0.22885,0.11731,0.11731
0.378,0.4299,0.44975,0.40691,0.26718,0.39906,0.35739,0.17213,0.17213
0.18151,0.1947,0.20521,0.18412,0.11455,0.1786,0.15769,0.074998,0.074998
0.29019,0.3054,0.31835,0.29137,0.18735,0.27448,0.24643,0.12482,0.12482
0.92286,0.91439,1.0399,0.88738,0.58664,0.83927,0.75772,0.42709,0.42709
0.88055,0.93877,0.98911,0.92061,0.65763,0.89892,0.82593,0.45507,0.45507
0.59937,0.64497,0.67431,0.62183,0.43017,0.60402,0.5504,0.28978,0.28978
0.42347,0.4999,0.52037,0.48329,0.33826,0.46053,0.42223,0.20903,0.20903
0.51184,0.57519,0.59539,0.55266,0.38614,0.52136,0.47942,0.25137,0.25137
0.80412,0.89024,0.91697,0.85945,0.64053,0.81656,0.76196,0.45443,0.45443
